ID    ReferenceType ReferenceID
Ginkgoxylon_bihariense	NomRef	Ginkgoxylon_bihariense-ref
Ginkgoxylon_bonesii	NomRef	Ginkgoxylon_bonesii-ref
Ginkgoxylon_chinense	NomRef	Ginkgoxylon_chinense -ref
Ginkgoxylon_diversicellulatum	NomRef	Ginkgoxylon_diversicellulatum-ref
Ginkgoxylon_dixitii	NomRef	Ginkgoxylon_dixitii-ref
Ginkgoxylon_gruetii	NomRef	Ginkgoxylon_gruetii-ref
Ginkgoxylon_lesboense	NomRef	Ginkgoxylon_lesboense-ref
Ginkgoxylon_liaoningense	NomRef	Ginkgoxylon_liaoningense-ref
Ginkgoxylon_quangnamense	NomRef	Ginkgoxylon_quangnamense-ref
Karkenia_asiatica	NomRef	Karkenia_asiatica -ref
Karkenia_cylindrica	NomRef	Karkenia_cylindrica-ref
Karkenia_hauptmannii	NomRef	Karkenia_hauptmannii -ref
Karkenia_henanensis	NomRef	Karkenia_henanensis -ref
Karkenia_incurva	NomRef	Karkenia_incurva -ref
Karkenia_mongolica	NomRef	Karkenia_mongolica-ref
Karkenia_permiana	NomRef	Karkenia_permiana-ref
Karpia_macroloba	NomRef	Karpia_macroloba-ref
Nagrenia_leviana	NomRef	Nagrenia_leviana-ref
Nagrenia_pilosa	NomRef	Nagrenia_pilosa-ref
Nagrenia_samylinae	NomRef	Nagrenia_samylinae -ref
Nehvizdyella_bipartita	NomRef	Nehvizdyella_bipartita -ref
Schmeissneria_microstachys	NomRef	Schmeissneria_microstachys -ref
Sphenobaiera_abschirica	NomRef	Sphenobaiera_abschirica-ref
Sphenobaiera_africana	NomRef	Sphenobaiera_africana-ref
Sphenobaiera_altaica	NomRef	Sphenobaiera_altaica-ref
Sphenobaiera_amalloidea	NomRef	Sphenobaiera_amalloidea-ref
Sphenobaiera_angarensis	NomRef	Sphenobaiera_angarensis-ref
Sphenobaiera_angrenica	NomRef	Sphenobaiera_angrenica-ref
Sphenobaiera_angustiloba	NomRef	Sphenobaiera_angustiloba-ref
Sphenobaiera_aravanica	NomRef	Sphenobaiera_aravanica-ref
Sphenobaiera_argentinae	NomRef	Sphenobaiera_argentinae-ref
Sphenobaiera_asiatica	NomRef	Sphenobaiera_asiatica-ref
Sphenobaiera_bifurcata	NomRef	Sphenobaiera_bifurcata-ref
Sphenobaiera_biloba	NomRef	Sphenobaiera_biloba-ref
