AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus
Ginkgoxylon_bonesii	Wheeler County, Oregon	Text	
Ginkgoxylon_chinense	Yixian of western Liaoning, China	Text	
Ginkgoxylon_diversicellulatum	Petrified forest of Lesbos, Greece	Text	
Ginkgoxylon_dixitii	Kota Formation, India	Text	
Ginkgoxylon_gruetii	Brouillard quarry, north of Angers, France	Text	
Ginkgoxylon_lesboense	Petrified forest of Lesbos, Greece	Text	
Ginkgoxylon_liaoningense	Toudaogou village, Beipiao City, Liaoning Province, China	Text	
Ginkgoxylon_quangnamense	Quảng Nam Province, Vietnam	Text	
Karkenia_asiatica	Bureja river, Russia	Text	
Karkenia_cylindrica	Zirab,Savadkuh County, Mazandaran Province, northern Iran	Text	
Karkenia_hauptmannii	Pechgraben near Kulmbach, Germany	Text	
Karkenia_henanensis	Yima Formation, Henan, China	Text	
Karkenia_incurva	Bajo Tigre, Santa Cruz Province, Argentina	Text	
Karkenia_mongolica	Shin-Khuduk, Mongolia	Text	
Karkenia_permiana	Left bank of the Salva river, Suksunsky District, Perm Krai, Russia	Text	
Karpia_macroloba	Left bank of the Salva river, Suksunsky District, Perm Krai, Russia	Text	
Nagrenia_leviana	Angren, Tashkent viloyat, Uzbekistan	Text	
Nagrenia_pilosa	Angren, Tashkent viloyat, Uzbekistan	Text	
Nagrenia_samylinae	Angren, Tashkent viloyat, Uzbekistan	Text	
Nehvizdyella_bipartita	Horoušany, Kamenná Panna Quarry near Nehvizdy, Czech Republic	Text	
Schmeissneria_microstachys	Reundorf near Bamberg, Germany	Text	
Sphenobaiera_abschirica	Dzergalan river, northern shore of Issyk-Kul' lake, Kyrgyzstan	Text	
Sphenobaiera_africana	Underberg subrefion, Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_altaica	Bakhar mountain, Gobiyskiy Altay, Mongolia	Text	
Sphenobaiera_amalloidea	Scoresby Sound, East Greenland	Text	
Sphenobaiera_angarensis	Prisayansk Formation, Tel'ma, Angara river, Irkutsk coal basin, Russia	Text	
Sphenobaiera_angrenica	Angren, Tashkent viloyat, Uzbekistan	Text	
Sphenobaiera_angustiloba	Ajakit, basin of the Lena river, Russia	Text	
Sphenobaiera_aravanica	Basin of the river Aravan, Fergana Region, Uzbekistan	Text	
Sphenobaiera_argentinae	Cacheuta subregion, Argentina	Text	
Sphenobaiera_asiatica	Dzergalan river, Iki-chat river, northern shore of Issyk-Kul' lake, Kyrgyzstan	Text	
Sphenobaiera_bifurcata	Yungjen, Yunnan, China	Text	
Sphenobaiera_biloba	Zyryanka river, Sakha Republic, Russia	Text	
Sphenobaiera_boeggildiana	Scoresby Sound, east Greenland	Text	
Sphenobaiera_browniana	Aliwal North subrefion, Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_calensis	Elliot subrefion, Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_consimilis	River Lepiske, basin of the Lena river, Russia	Text	
Sphenobaiera_coreanica	Danyang Coal-Field, Korea	Text	
Sphenobaiera_coronata	Molteno formation, Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_crassinervis	Huanglung District, Shensi, China	Text	
Sphenobaiera_cretosa	Hradiště (Těrlicko), Czech Republic (Grodischt, Silesia, Germany )	Text	
Sphenobaiera_czekanowskiana	Ust'-Balej village, right bank of Angara river, Irkutsk coal basin, Irkutsk region, Russia	Text	
Sphenobaiera_doludenkoae	Vilyuy River, tributary of the Lena River, Russia	Text	
Sphenobaiera_dzergalanensis	Dzergalan river, northern shore of Issyk-Kul' lake, Kyrgyzstan	Text	
Sphenobaiera_eccaensis	Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_eurybasis	Chaidamu, Qinghai, China	Text	
Sphenobaiera_fengii	Ma’anshan, Xinhua, Hunan, China	Text	
Sphenobaiera_flabellata	Left bank of Erdiljakh River, 8 km from the mouth, Olenek district, Yakutia (Sakha) Republic, Russia	Text	
Sphenobaiera_fujianensis	Zhenghe, Northern Fujian province, China	Text	
Sphenobaiera_furcata	Switzerland	Text	
Sphenobaiera_ginkgooides	Qaidam Basin, northwestern Qinghai Province, China	Text	
Sphenobaiera_grandis	Zirab, Northern Iran	Text	
Sphenobaiera_granulifer	Madygen, South Fergana, Uzbekistan	Text	
Sphenobaiera_gyron	Hasty Bank, Scarborough, North Yorkshire, England	Text	
Sphenobaiera_helvetica	Bergville subrefion, Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_horniana	Windy Guily, Franz Joseph Land, Russia	Text	
Sphenobaiera_huangii	Hsiangchi Formation, Zigui County, Hubei Province, China	Text	
Sphenobaiera_ikorfatensis	Ikorfat, Greenland	Text	
Sphenobaiera_insecta	Underberg subrefion, Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_irkutensis	Cheremkhovo coal mine, Irkutsk coal basin, Russia	Text	
Sphenobaiera_janarensis	East bank of Janar River, about 1.25 km south-south-west of Harai, India	Text	
Sphenobaiera_kazachstanica	Karatau, Kazakhstan	Text	
Sphenobaiera_kolyvanica	Western square, Kolyvanskoe mine, Gorlovsky coal basin, Novosibirsk region, Russia	Text	
Sphenobaiera_lenaensis	Downstream part of the Lena river basin, Russia	Text	
Sphenobaiera_leptophylla	Scoresby Sound, East Greenland	Text	
Sphenobaiera_longifolia	Châteauroux, Indre, France	Text	
Sphenobaiera_macrofolia	Kedrovaya pad, Khasan district, Primorye territory, Russia	Text	
Sphenobaiera_magnifolia	Kansky basin, Krasnojarsk territory, Russia	Text	
Sphenobaiera_micronervis	South of Dafengshan and Moshigou, Liulin, Shanxi Province, China	Text	
Sphenobaiera_mixteca	North-east part of the CA town, on the region known as Las Mesas, Tlaxiaco, Oaxaca, Mexico	Text	
Sphenobaiera_multifida	Blue Ridge, Virginia, USA	Text	
Sphenobaiera_multipartita	Haizhou District, Fuxin, Liaoning province, China	Text	
Sphenobaiera_nipponica	Nishi-Neiridani, Asahi-machi, Shimo-Niikawagun, Toyama Prefecture, Japan	Text	
Sphenobaiera_ophioglossum	"Lower Sandstone, Whitby", Scarborough, North Yorkshire, England	Text	
Sphenobaiera_orientalis	Sangary, Lena river basin, Yakutia republic, Russia	Text	
Sphenobaiera_paraangustiloba	Tyl' River, Western Priokhot'e, Russia	Text	
Sphenobaiera_paragrandis	Zirab, Northern Iran	Text	
Sphenobaiera_paucinervis	Kap Stephen, Franz Josef Land, Russia	Text	
Sphenobaiera_paucipartita	Scania, Sweden	Text	
Sphenobaiera_pecten	Yorkshire Estuarine, Yorkshire, England	Text	
Sphenobaiera_peculiaris	River Lepiske, basin of the Lena river, Russia	Text	
Sphenobaiera_petschorica	Mishajag borehole 202, Bol'shesyninskaja depression, Pechora river basin, Russia	Text	
Sphenobaiera_pilosa	Right bank of Bezymjannyj creek, Tolbykchan river, above mouth of Vrezannaja river, Indigirka river basin, Yakutia (Saha) republic, Russia	Text	
Sphenobaiera_polyloba	Yakutiya, Russia	Text	
Sphenobaiera_polylobata	Chul'makanskoe mine, South Yakutian coal basin, Yakutia (Saha) republic, Russia	Text	
Sphenobaiera_pontifolia	Underberg subrefion, Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_porrecta	Kuznetsk basin, Siberia, Russia	Text	
Sphenobaiera_pseudolongifolia	Menkere river, below mouth of Batyyurekh, Yakutia (Saha) republic, Russia	Text	
Sphenobaiera_pulchella	Amur River/Bureja River, Amur region, Russia	Text	
Sphenobaiera_qixingensis	Chengzihe Formation, Shuang-Yashan-Suibin region, Estern Heilongjiang, China	Text	
Sphenobaiera_rarefurcata	Doman, near Reschiza, Banat, Anina (Rhona), Romania	Text	
Sphenobaiera_raymondii	Le Creusot, Charmoy, France	Text	
Sphenobaiera_robusta	Mount Potts, New Zealand	Text	
Sphenobaiera_rugata	Xiwan, Guangxi, China	Text	
Sphenobaiera_samylinae	Barula River, Georgia	Text	
Sphenobaiera_schenkii	Indwe, Stormberge, South Africa	Text	
Sphenobaiera_sectina	Underberg subrefion, Karoo Basin, Eastern Cape, South Africa	Text	
Sphenobaiera_sibiriensis	Chusovitinskaya depression, Kuznetsk basin, Siberia, Russia	Text	
Sphenobaiera_spectabilis	Stabbarp in Schonen, Sweden	Text	
Sphenobaiera_spetsbergensis	Wealden, Advent Bay, Spitsbergen, Norway	Text	
Sphenobaiera_spinosa	Shihotze series, Shansi, China	Text	
Sphenobaiera_spirata	Heidaigou, Zhungeerqi, Inner Mongolia, China	Text	
Sphenobaiera_starukhiniae	Chernovskoe coal mine, central Transbaikalia, Russia	Text	
Sphenobaiera_steinmannii	Copiapo subregion, Chile	Text	
Sphenobaiera_stormbergensis	Stormberg Beds, Karoo Basin, South Africa	Text	
Sphenobaiera_striata	Border Clay Products Pit Gulf, North Carolina, USA	Text	
Sphenobaiera_subtilis	River Lepiske, basin of the Lena river, Russia	Text	
Sphenobaiera_suluktensis	Yaghnob river valley, Tajikistan	Text	
Sphenobaiera_tajmyrensis	Ubojnaja and Malaja Pura rivers, Western Tajmyr peninsula, Russia	Text	
Sphenobaiera_tanganyikensis	Msimbasi River between the junction of a Katkindu tributary, Tanganyika, Tanzania	Text	
Sphenobaiera_tchirvae	Chucha, lower reaches of Lena river, Yakutia (Saha) republic, Russia	Text	
Sphenobaiera_tenuifolia	New Town/Spring Hill,Tasmania, Australia	Text	
Sphenobaiera_tenuistriata	Upper Shihhotse series, Shansi, China	Text	
Sphenobaiera_tunguscana	Below mouth of Tajmura river, against Gagarij island, left bank of Nizhnjaja Tungusska, Tungusska river basin, Siberia, Russia	Text	
Sphenobaiera_turkestanica	Zauron, Kshtut, kishlalak Krut-say-kuis'ya, Tajikistan	Text	
Sphenobaiera_umaltensis	Right bank of Bureya river, Russia	Text	
Sphenobaiera_uninervis	Aldan River, East Siberia, Russia	Text	
